Q,1,Q,6,E,t,e,1399640113041,8,2011-02-19,9.999999999E9,X,2013-07-21,x,946684800000,9.999999998999985E9,V,B,r,b,s,T,Z,v,2006-06-01,2004-05-14,2018-10-04,Private Passenger,1,g,X,5,7,0,PA,y,7,2014-10-03,1663,57,4
B,9,G,G,J,t,d,1420070400000,0,2012-12-11,9.999999999E9,k,2013-05-05,J,1420070400000,-9.99999998999985E8,0,C,C,p,E,K,o,8,2010-09-05,2015-06-09,2013-12-09,Private Passenger,u,s,b,H,e,9,ME,K,v,2003-01-02,837,98,0
D,0,b,x6,N7,a,H,1420070400000,9,2019-06-25,-9.99999999E8,gi,2008-07-07,9,962727102045,-9.99999998999985E8,z,fa,f,t,k,fn,q,1,2012-05-27,2006-01-23,2014-02-26,Renters,o,K,hl,m,9,0,GA,Q,k,2002-12-08,1820,98,2
na,0,F,du,N,y,pJ,1420070400000,0,2001-04-06,-9.99999999E8,5d1,2013-07-05,3Z1,1420070400000,9.999999999E9,H1,T,Q2,hL,Ish,s,9EJ,h,2019-06-24,2016-09-12,2014-10-17,Private Passenger,xCj,vq,p,7,CI,4,IA,o5,6,2017-12-27,918,22,4
hT,1,eO,jf,suS6,5j,4WgX,946684800000,0,2013-03-15,-9.99999999E8,Osxd,2002-04-21,Kr,976558166237,-9.99999999E8,O,0aZA,b,JDfK,g,i,cS,v,2017-05-19,2019-08-07,2013-07-27,Private Passenger,0w,Bp0C,S,BD7m,3onz,9,OK,5NT,2b,2014-09-26,704,64,3
esY,0,X,9JRnA,MeI,XUV,ol6,1072519304655,9,2004-03-13,-9.99999999E8,gnm7,2018-12-23,1l,946684800000,-9.99999999E8,B,8Er,ZksrD,xYT,u,IdLSg,2mcc,BgP,2004-03-14,2003-11-25,2017-05-07,Renters,Uk9Mm,2c,D6QOv,9,32,3,UT,U9,I,2015-12-03,1708,45,4
g,0,UEztb,6,I80XF,epK,1,946684800000,0,2011-03-12,9.999999998999985E9,SoQ,2002-04-03,6sHB,946684800000,9.999999999E9,kmB1R,n,4YmR,zG,vK2,HvR1K,xuFJ,KEyu,2016-11-07,2000-06-28,2011-10-11,Private Passenger,kbx,pj,oy3,9UFd,dp,9,CO,kNu,XOSz,2006-02-07,1940,60,2
XmZ,5,M33,HP66,u0A,LB,aorW,1420070400000,9,2013-06-13,9.999999998999985E9,LPyT,2000-03-25,hksA,1420070400000,9.999999999E9,fL,Uoli,FQV3O,xWpz,wvebO,JXvw,mV,Z,2013-09-03,2016-06-14,2006-10-02,Renters,gY2m2,d,U7,5,DZ,0,OR,sg8ur,Kf2,2000-11-28,1127,73,3
K,0,I,c,NL,4k,odn,1420070400000,9,2004-02-04,9.999999998999985E9,4O,2019-01-21,0DN5u,1420070400000,9.999999999E9,RRa8,FC1q,yXt,ayiQ,bC,hla,dh,hrk,2002-07-28,2001-10-16,2014-04-22,Renters,h4RrZ,2S,3,cV,ZQ5,0,NE,Qw,ljPQ3,2009-12-20,1929,56,3
4Zj,0,BqNlQ,X,EHbZk,BZbKh,Wf5,946684800000,0,2011-03-07,9.999999999E9,afy3a,2006-08-06,wTcCY,946684800000,-9.99999998999985E8,F,WNfWj,3E,ZmdP,91,D,UID,DNn,2015-12-25,2000-05-16,2011-11-26,Renters,xVY,xV5a,E,TUl,AiNq,0,LA,y9XA,lw9Gy,2006-03-23,1170,40,2
VUO,9,t,eiDH1,50XSG,HpD3,v2Ok8,946684800000,0,2014-03-23,9.999999998999985E9,Ew,2013-03-23,hxmH,1420070400000,9.999999999E9,My,ZunH,gaK,7,HUG,hf,yUvX,Gu5,2015-03-15,2010-09-10,2002-09-01,Private Passenger,H,Q3vQ,a,13,KE,9,OK,Q3,mryXj,2013-10-05,1290,90,1
V,0,MW,ypsrB,L8a,s,ucJ,946684800000,9,2008-02-04,-9.99999999E8,Hy56R,2006-05-24,KgbHu,1420070400000,9.999999999E9,QDJF,WDn,o,RTW,91,y,vBm,CyKg,2000-06-06,2009-10-25,2004-11-11,Renters,quQ,9SEC,UtbX,E,vRaTP,5,CO,gk,Cblva,2002-05-21,1083,24,4
